"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"RESOURCE AND ENERGY ECONOMICS","0928-7655","1873-0221","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Environmental Studies | Economics"
"RESOURCES POLICY","0301-4207","1873-7641","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Environmental Studies"
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","0034-5806","1865-8431","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Information Science & Library Science"
"RETHINKING HISTORY","1364-2529","1470-1154","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","History"
"REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","2195-7177","2195-7185","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Psychology, Development"
"REVIEW OF ACCOUNTING STUDIES","1380-6653","1573-7136","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Business, Finance"
"REVIEW OF AFRICAN POLITICAL ECONOMY","0305-6244","1740-1720","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science | Area Studies"
"REVIEW OF CENTRAL AND EAST EUROPEAN LAW","0925-9880","0925-9880","MARTINUS NIJHOFF PUBL","PO BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Law"
"REVIEW OF COGNITIVE LINGUISTICS","1877-9751","1877-976X","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","English","Linguistics"
"REVIEW OF DERIVATIVES RESEARCH","1380-6645","1573-7144","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Economics | Business, Finance"
"REVIEW OF DEVELOPMENT ECONOMICS","1363-6669","1467-9361","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Development Studies | Economics"
"REVIEW OF ECONOMIC DESIGN","1434-4742","1434-4750","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Economics"
"REVIEW OF ECONOMIC DYNAMICS","1094-2025","1096-6099","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Economics"
"REVIEW OF ECONOMICS AND STATISTICS","0034-6535","1530-9142","MIT PRESS","ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209","English","Economics | Social Sciences, Mathematical Methods"
"REVIEW OF ECONOMICS OF THE HOUSEHOLD","1569-5239","1573-7152","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Economics"
"REVIEW OF ECONOMIC STUDIES","0034-6527","1467-937X","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Economics"
"REVIEW OF EDUCATIONAL RESEARCH","0034-6543","1935-1046","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY","1750-6816","1750-6824","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Environmental Studies | Economics"
"REVIEW OF EUROPEAN COMPARATIVE & INTERNATIONAL ENVIRONMENTAL LAW","2050-0386","2050-0394","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Environmental Studies | Law"
"REVIEW OF FINANCE","1572-3097","1573-692X","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Economics | Business, Finance"
"REVIEW OF FINANCIAL STUDIES","0893-9454","1465-7368","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Economics | Business, Finance"
"REVIEW OF GENERAL PSYCHOLOGY","1089-2680","1939-1552","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Multidisciplinary"
"REVIEW OF HIGHER EDUCATION","0162-5748","1090-7009","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","English","Education & Educational Research"
"REVIEW OF INCOME AND WEALTH","0034-6586","1475-4991","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"REVIEW OF INDUSTRIAL ORGANIZATION","0889-938X","1573-7160","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Economics | Management"
"REVIEW OF INTERNATIONAL ECONOMICS","0965-7576","1467-9396","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"REVIEW OF INTERNATIONAL ORGANIZATIONS","1559-7431","1559-744X","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Political Science | International Relations | Economics"
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","0969-2290","1466-4526","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science | Economics | International Relations"
"REVIEW OF INTERNATIONAL STUDIES","0260-2105","1469-9044","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","International Relations"
"REVIEW OF KEYNESIAN ECONOMICS","2049-5323","2049-5331","EDWARD ELGAR PUBLISHING LTD","THE LYPIATTS, 15 LANSDOWN RD, CHELTENHAM, ENGLAND, GLOS, GL50 2JA","English","Economics"
"REVIEW OF MANAGERIAL SCIENCE","1863-6683","1863-6691","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Management"
"REVIEW OF NETWORK ECONOMICS","2194-5993","1446-9022","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Economics"
"REVIEW OF POLICY RESEARCH","1541-132X","1541-1338","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Political Science | Public Administration"
"REVIEW OF PUBLIC PERSONNEL ADMINISTRATION","0734-371X","1552-759X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public Administration"
"REVIEW OF RADICAL POLITICAL ECONOMICS","0486-6134","1552-8502","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Economics"
"REVIEW OF RELIGIOUS RESEARCH","0034-673X","2211-4866","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Sociology"
"REVIEW OF RESEARCH IN EDUCATION","0091-732X","1935-1038","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"REVIEW OF WORLD ECONOMICS","1610-2878","1610-2886","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Economics | International Relations"
"REVIJA ZA KRIMINALISTIKO IN KRIMINOLOGIJO","0034-690X","","MINISTRY INTERIOR REPUBLIC SLOVENIA","STEFANOVA ULICA 2, LJUBLJANA, SLOVENIA, 1501","Slovenian","Criminology & Penology"
"REVIJA ZA SOCIJALNU POLITIKU","1330-2965","1845-6014","SVEUCLISTE ZAGREBU, PRAVNI FAKULTED-UNIV ZAGREB, FAC LAW","TRG MARSALA TITA 14, ZAGREB, CROATIA, 10000","Croatian, English","Social Issues"
"REVISTA BRASILEIRA DE POLITICA INTERNACIONAL","0034-7329","1983-3121","INST BRASILEIRO RELACOES INT","CAIXA POSTAL 4400, BRASILIA DF, BRAZIL, 70919-970","Portuguese, English, Spanish","Political Science | International Relations"
"REVISTA CHILENA DE DERECHO","0718-3437","0718-3437","PONTIFICA UNIV CATOLICA DE CHILE FACULTAD DE DERECHO","AV LIBERATADOR BENARDO O HIGGINS 340, SANTIAGO, CHILE, CASILLA 114-D, SANTIAGO 1, CHILE, 00000","Spanish","Law"
